ElementPortion;Density
COX;0,3
FEMd;0,2
FEMp;0,3
FEMsh;0,1
HUMd;0,3
HUMp;0,2
HUMsh;0,5
MCd;0,4
MCp;0,3
MCsh;0,7
MTd;0,4
MTp;0,3
MTsh;0,6
PHA1sh;0,4
PHA2p;0,3
PHA3;0,1
RADd;0,3
RADp;0,3
RADsh;0,9
SCP;0,3
Tcal;0,3
TIBd;0,3
TIBp;0,2
TIBsh;0,8
Ttal;0,4
ULNp;0,3
Vatl;0,1
Vaxi;0,38
Vcer;0,37
Vsac;0,2
Vtho;0,42
