Element;SFUI
ANT;1
CRA;9,1
MAN;11,5
Vatl;10,2
Vaxi;10,2
Vcer;37,1
Vtho;47,3
Vlum;33,2
COX;49,3
Vsac;49,3
RIB;51,6
STER;66,6
SCP;44,7
HUM;36,8
RAU;25,8
MC;5,2
Ccap;5,2
Cham;5,2
Clun;5,2
Cpis;5,2
Csca;5,2
Ctri;5,2
FEM;100
TIB;62,8
Tcal;62,8
Tcbn;62,8
Tgcun;62,8
Tscun;62,8
Ttal;62,8
MT;37
PHA1;19,4
PHA2;19,4
PHA3;19,4
