ElementPortion;Density
Ccap;0,69
Cham;0,72
Clun;0,67
COX;0,4
CRApetrous;0,29
Csca;0,7
FEMd;0,23
FEMp;0,34
FEMsh;0,51
FIB;0,68
HUMd;0,39
HUMp;0,21
HUMsh;0,72
MANbod;0,38
MCd;0,48
MCp;0,42
MCsh;0,59
MTd;0,48
MTp;0,26
MTsh;0,41
PAT;0,57
PHA1sh;0,49
PHA2d;0,4
PHA2p;0,4
PHA3;0,29
RADd;0,42
RADp;0,45
RADsh;0,56
RIB;0,4
SCP;0,66
Tcal;0,6
TIBd;0,48
TIBp;0,3
TIBsh;0,5
Ttal;0,35
ULNp;0,39
